sample name	sample_title	bioproject_accession	organism	isolation_source	collection_date	geo_loc_name	tissue	collected_by	sex
Anagyrus pseudococci	21a_bis4	PRJNA826991	Anagyrus pseudococci	Unknown	2005/2014	Unknown	whole body	bioplanet (italy)	male
Aphidius colemani	2b	PRJNA826991	Aphidius colemani	Unknown	2005/2014	Unknown	whole body	Biobest	female
Campopleginae	14b	PRJNA826991	Campopleginae	French Polynesia	2005/2007	French Polynesia	metasoma	S.Charlat (sc_02317)	female
Ceratosolen corneri	1bf	PRJNA826991	Ceratosolen corneri	Unknown	2005/2014	Unknown	whole body	JY Rasplus	female
Ceratosolen marchali	1a_2	PRJNA826991	Ceratosolen marchali	Unknown	2005/2014	Unknown	whole body	JY Rasplus	female
Copidosoma aretas	4a_bis	PRJNA826991	Copidosoma aretas	Danemark	31/05/2010	Danemark: strawberry field on Sealand near the village Eggeslevmagle	35 indiv (unknown sex) 1 brood from one female	L.Sigsgaard (University of Copenhagen, Danemark)	pooled male and female
Cremastinae A	19a1	PRJNA826991	Cremastinae_A	French Polynesia	2005/2007	French Polynesia	metasoma	S.Charlat (sc_01605)	female
Cremastinae B	19b2	PRJNA826991	Cremastinae_B	French Polynesia	2005/2007	French Polynesia	metasoma	S.Charlat (sc 02202)	female
Encarsia formosa	2b-bis	PRJNA826991	Encarsia formosa	Unknown	2005/2014	Unknown	Numerous males+females	Koppert	pooled male and female
Eretmocerus eremicus	2a	PRJNA826991	Eretmocerus eremicus	Unknown	2005/2014	Unknown	Numerous males+females	Biobest	pooled male and female
Eupelmus azureus	25b	PRJNA826991	Eupelmus azureus	Provence-Alpes-Côte d'Azur - France	2005/2014	France: Provence-Alpes-Côte d'Azur	metasoma	INRA Antibes N. Ris	female
Eupelmus kiefferi	25a	PRJNA826991	Eupelmus kiefferi	Provence-Alpes-Côte d'Azur - France	2005/2014	France: Provence-Alpes-Côte d'Azur	metasoma	INRA Antibes N. Ris	female
Ichneumoninae A	15a	PRJNA826991	Ichneumoninae_A	French Polynesia	2005/2007	French Polynesia	metasoma	S.Charlat (sc_02298)	female
Ichneumoninae B	15b	PRJNA826991	Ichneumoninae_B	French Polynesia	2005/2007	French Polynesia	metasoma	S.Charlat (sc_02307)	female
Leptomastidea abnormis	21b-bis2	PRJNA826991	Leptomastidea abnormis	Unknown	2005/2014	Unknown	whole body	Crisop	female
Meteorus cinctellus	22a	PRJNA826991	Meteorus cinctellus	"Sweden: Skåne Vomb, vattenverk; 5539'43.4N 1332'50.4E"	2014	"Sweden: Skåne Vomb, vattenverk; 5539'43.4N 1332'50.4E"	metasoma	J.Stigenberg (Swedish museum of natural history)	female
Meteorus colon F	22bf	PRJNA826991	Meteorus colon F	"Sweden: Skåne Vomb, vattenverk; 5539'43.4N 1332'50.4E"	2014	"Sweden: Skåne Vomb, vattenverk; 5539'43.4N 1332'50.4E"	metasoma	J.Stigenberg (Swedish museum of natural history)	female
Meteorus colon M	22bm	PRJNA826991	Meteorus colon M	"Sweden: Skåne Vomb, vattenverk; 5539'43.4N 1332'50.4E"	2014	"Sweden: Skåne Vomb, vattenverk; 5539'43.4N 1332'50.4E"	whole body	J.Stigenberg (Swedish museum of natural history)	male
Ophioninae A	18a	PRJNA826991	Ophioninae A	French Polynesia	2005/2007	French Polynesia	metasoma	S.Charlat (sc_01608)	female
Ophioninae B	18b	PRJNA826991	Ophioninae B	French Polynesia	2005/2007	French Polynesia	metasoma	S.Charlat (Sc_09723)	female
Platygaster equestris	12b-bis1	PRJNA826991	Platygaster equestris	Unknown	Unknown	Unknown	metasoma	P.Buhl	female
Platygaster orseoliae	12a-bis	PRJNA826991	Platygaster orseoliae	Indonesia W Java Cianjur	15/05/2015	Indonesia: W Java Cianjur	whole body	W.A.Overholt/Peter Buhl	female
Psyttalia concolor	17b2	PRJNA826991	Psyttalia concolor	Unknown	2005/2014	Unknown	metasoma	INRAE (N. Ris)	female
Psyttalia lounsburyi	17a	PRJNA826991	Psyttalia lounsburyi	Unknown	2005/2014	Unknown	metasoma	INRAE (N. Ris)	female
Torymus flavipes	7b	PRJNA826991	Torymus flavipes	Unknown	2005/2014	Unknown	metasoma	INRAE (N. Ris)	female
Torymus sinensis	7a	PRJNA826991	Torymus sinensis	Unknown	2005/2014	Unknown	metasoma	INRAE (N. Ris)	female
Trichogramma brassicae	6a	PRJNA826991	Trichogramma brassicae	Unknown	2005/2014	Unknown	unknown	J.M. Delpuech	pooled male and female
Trichopria drosophilae	8a	PRJNA826991	Trichopria drosophilae	France (Ste Foy)	2005/2014	France: Ste Foy	whole body	J.Varaldi	female
