;Run;AssemblyName;bases;size_MB;LibraryLayout;BioSample;ScientificName;LibraryStrategy;LibrarySelection;LibrarySource;Sex;Analyte_Type;Histological_Type;Body_Site;Tissue;Dev
0;SRR1015499;;6325347780;4165;PAIRED;SAMN02380854;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
1;SRR1015500;;2899132560;1959;PAIRED;SAMN02380854;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
2;SRR1015501;;3154847040;2105;PAIRED;SAMN02380854;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
4;SRR1015503;;3977828460;2622;PAIRED;SAMN02380857;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
5;SRR1015504;;3452464080;2321;PAIRED;SAMN02380857;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
6;SRR1015505;;3503621700;2344;PAIRED;SAMN02380857;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
8;SRR1015507;;3545327700;2368;PAIRED;SAMN02380858;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
9;SRR1015508;;3325611960;2251;PAIRED;SAMN02380858;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
10;SRR1015509;;3381811920;2295;PAIRED;SAMN02380858;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
12;SRR1015511;;4500165780;2993;PAIRED;SAMN02380869;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
13;SRR1015512;;2982920580;2027;PAIRED;SAMN02380869;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
14;SRR1015513;;3243421800;2187;PAIRED;SAMN02380869;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
16;SRR1015515;;3729194820;2475;PAIRED;SAMN02380868;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
17;SRR1015516;;3352805820;2252;PAIRED;SAMN02380868;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
18;SRR1015517;;3409745940;2295;PAIRED;SAMN02380868;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
20;SRR1015519;;3772546380;2504;PAIRED;SAMN02380859;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
21;SRR1015520;;3209677920;2160;PAIRED;SAMN02380859;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
22;SRR1015521;;3260524860;2198;PAIRED;SAMN02380859;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
24;SRR1015523;;4382488260;2899;PAIRED;SAMN02380867;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
25;SRR1015524;;3845307780;2587;PAIRED;SAMN02380867;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
26;SRR1015525;;3905563320;2624;PAIRED;SAMN02380867;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
28;SRR1015527;;4174914420;2762;PAIRED;SAMN02380864;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
29;SRR1015528;;3118413240;2124;PAIRED;SAMN02380864;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
30;SRR1015529;;3736742040;2506;PAIRED;SAMN02380864;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
32;SRR1015531;;4037543460;2669;PAIRED;SAMN02380865;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
33;SRR1015532;;3085137000;2102;PAIRED;SAMN02380865;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
34;SRR1015533;;3698257320;2485;PAIRED;SAMN02380865;Acromyrmex_echinatior;RNA-Seq;cDNA;TRANSCRIPTOMIC;;;;;heads;NA
88;SRR7772545;https://www.ncbi.nlm.nih.gov/genome/3519?genome_assembly_id=34551;19355037356;6079;PAIRED;SAMN09939835;Acromyrmex_echinatior;RNA-Seq;PolyA;TRANSCRIPTOMIC;female;;;;brain;NA
