query;target;pident;alnlen;mismatch;gapopen;qstart;qend;tstart;tend;evalue;bits;qlen;tlen;tcov;qcov;Cluster;Names;scaffolds;GC;Arithmetic_cov_depth;Scaf_length;Median_cov_depth;scaf_name;scaf_length;cov_depth_candidat;cov_depth_BUSCO;pvalue_cov;count_duplicate;diff_length;HSP_group;strand;overlapping_group;full_loci_name;ORF_query;ORF_target;ORF_start;ORF_end;ORF_strand;Overlapp_ORF_EVEs;ORF_perc;start-end;start;end;Overlapp_group;Pseudogenized;count_repeat;count_euk;euk_count_plus_repeat;Scaffold_score;loci_length;SE_dNdS;Pvalue_dNdS;dNdS;dNdS_type;SE_plus_dNdS
PoFV_scaffold_64266_orf001;PoFV_scaffold_15031:5702-6766(+);88.4;355;41;0;1;354;1;355;4.694e-214;655;355;355;1.0;0.997;Cluster69;PoFV_scaffold_15031:5702-6766(+);scaffold_15031;0.307585685483871;31.0516698172653;7935.0;32.0;scaffold_15031;418;32.0;33.96815107102593;0.0935738444193912;1;;;+;19;PoFV_scaffold_15031:5702-6766(+);PoFV_scaffold_15031:5702-6766(+);"scaffold_15031_ORF.10;5701-6766(+)";5701.0;6766.0;-;;1.0009398496240602;5702-6766;5702;6766;17.0;no;0.0;0.0;0.0;C;1064;0.02628;0.0;0.139;classic;0.16528
LbFV_YP_009345606.1;PoFV_scaffold_15031:5702-6766(+);23.3;346;251;0;4;331;9;354;1.822e-24;103;334;355;0.975;0.982;Cluster69;PoFV_scaffold_15031:5702-6766(+);scaffold_15031;0.307585685483871;31.0516698172653;7935.0;32.0;scaffold_15031;418;32.0;33.96815107102593;0.0935738444193912;1;;;+;19;PoFV_scaffold_15031:5702-6766(+);PoFV_scaffold_15031:5702-6766(+);"scaffold_15031_ORF.10;5701-6766(+)";5701.0;6766.0;-;;1.0009398496240602;5702-6766;5702;6766;17.0;no;0.0;0.0;0.0;C;1064;0.02628;0.0;0.139;classic;0.16528
DFV_QKN22457.1;PoFV_scaffold_15031:5702-6766(+);21.6;370;262;0;13;382;20;354;1.748e-21;95;398;355;0.944;0.93;Cluster69;PoFV_scaffold_15031:5702-6766(+);scaffold_15031;0.307585685483871;31.0516698172653;7935.0;32.0;scaffold_15031;418;32.0;33.96815107102593;0.0935738444193912;1;;;+;19;PoFV_scaffold_15031:5702-6766(+);PoFV_scaffold_15031:5702-6766(+);"scaffold_15031_ORF.10;5701-6766(+)";5701.0;6766.0;-;;1.0009398496240602;5702-6766;5702;6766;17.0;no;0.0;0.0;0.0;C;1064;0.02628;0.0;0.139;classic;0.16528
PoFV_scaffold_64266_orf001;PoFV_scaffold_18363:1151-169(-);78.1;277;60;0;27;303;1;277;4.886e-141;444;355;327;0.847;0.78;Cluster69;PoFV_scaffold_18363:1151-169(-);scaffold_18363;0.346588767433095;31.1832233741753;5305.0;32.0;scaffold_18363;102;32.0;33.96815107102593;0.0935738444193912;3;17.0;36.0;-;31;PoFV_scaffold_18363:1151-169(-);PoFV_scaffold_18363:1151-169(-);"scaffold_18363_ORF.15;284-638(-)";284.0;638.0;-;;0.3604887983706721;1151-169;169;1151;26.0;yes;0.0;0.0;0.0;C;982;0.02628;0.0;0.139;classic;0.16528
PoFV_scaffold_64266_orf001;PoFV_scaffold_18363:1151-169(-);78.1;277;60;0;27;303;1;277;4.886e-141;444;355;327;0.847;0.78;Cluster69;PoFV_scaffold_18363:1151-169(-);scaffold_18363;0.346588767433095;31.1832233741753;5305.0;32.0;scaffold_18363;102;32.0;33.96815107102593;0.0935738444193912;3;17.0;36.0;-;31;PoFV_scaffold_18363:1151-169(-);PoFV_scaffold_18363:1151-169(-);"scaffold_18363_ORF.14;749-941(-)";749.0;941.0;-;;0.1955193482688391;1151-169;169;1151;27.0;yes;0.0;0.0;0.0;C;982;0.02628;0.0;0.139;classic;0.16528
LbFV_YP_009345606.1;PoFV_scaffold_18363:1151-169(-);20.8;302;230;0;39;329;18;319;1.335e-14;72;334;327;0.924;0.871;Cluster69;PoFV_scaffold_18363:1151-169(-);scaffold_18363;0.346588767433095;31.1832233741753;5305.0;32.0;scaffold_18363;102;32.0;33.96815107102593;0.0935738444193912;3;17.0;36.0;-;31;PoFV_scaffold_18363:1151-169(-);PoFV_scaffold_18363:1151-169(-);"scaffold_18363_ORF.15;284-638(-)";284.0;638.0;-;;0.3604887983706721;1151-169;169;1151;26.0;yes;0.0;0.0;0.0;C;982;0.02628;0.0;0.139;classic;0.16528
LbFV_YP_009345606.1;PoFV_scaffold_18363:1151-169(-);20.8;302;230;0;39;329;18;319;1.335e-14;72;334;327;0.924;0.871;Cluster69;PoFV_scaffold_18363:1151-169(-);scaffold_18363;0.346588767433095;31.1832233741753;5305.0;32.0;scaffold_18363;102;32.0;33.96815107102593;0.0935738444193912;3;17.0;36.0;-;31;PoFV_scaffold_18363:1151-169(-);PoFV_scaffold_18363:1151-169(-);"scaffold_18363_ORF.14;749-941(-)";749.0;941.0;-;;0.1955193482688391;1151-169;169;1151;27.0;yes;0.0;0.0;0.0;C;982;0.02628;0.0;0.139;classic;0.16528
DFV_QKN22457.1;PoFV_scaffold_18363:1151-169(-);20.8;307;215;0;25;331;6;277;9.784e-15;74;398;327;0.832;0.771;Cluster69;PoFV_scaffold_18363:1151-169(-);scaffold_18363;0.346588767433095;31.1832233741753;5305.0;32.0;scaffold_18363;102;32.0;33.96815107102593;0.0935738444193912;3;17.0;36.0;-;31;PoFV_scaffold_18363:1151-169(-);PoFV_scaffold_18363:1151-169(-);"scaffold_18363_ORF.15;284-638(-)";284.0;638.0;-;;0.3604887983706721;1151-169;169;1151;26.0;yes;0.0;0.0;0.0;C;982;0.02628;0.0;0.139;classic;0.16528
DFV_QKN22457.1;PoFV_scaffold_18363:1151-169(-);20.8;307;215;0;25;331;6;277;9.784e-15;74;398;327;0.832;0.771;Cluster69;PoFV_scaffold_18363:1151-169(-);scaffold_18363;0.346588767433095;31.1832233741753;5305.0;32.0;scaffold_18363;102;32.0;33.96815107102593;0.0935738444193912;3;17.0;36.0;-;31;PoFV_scaffold_18363:1151-169(-);PoFV_scaffold_18363:1151-169(-);"scaffold_18363_ORF.14;749-941(-)";749.0;941.0;-;;0.1955193482688391;1151-169;169;1151;27.0;yes;0.0;0.0;0.0;C;982;0.02628;0.0;0.139;classic;0.16528
PoFV_scaffold_11706_orf002;PoFV_scaffold_15031:1850-3133(+);67.3;428;135;0;1;414;1;428;8.688999999999999e-185;574;418;428;1.0;0.99;Cluster502;PoFV_scaffold_15031:1850-3133(+);scaffold_15031;0.307585685483871;31.0516698172653;7935.0;32.0;scaffold_15031;418;32.0;33.96815107102593;0.0935738444193912;2;3.0;3.0;+;18;PoFV_scaffold_15031:1850-3133(+);PoFV_scaffold_15031:1850-3133(+);"scaffold_15031_ORF.8;2476-3193(+)";2476.0;3193.0;-;;0.558846453624318;1850-3133;1850;3133;16.0;yes;0.0;0.0;0.0;C;1283;;;;;
