Table representing for each cluster of homologous EVEs the transposable elements of the RepeatModeler RepeatPeps database overlapping with EVEs. The overlap percentage represents the fractional size of the transposable element that overlaps with the EVEs. Only TEs overlapping at least 20% inside the EVEs and at least 50% to the right or left of the EVE were kept. 										
Clustername	Query	Qstart	Qend	Qevalue	Overlapping_TE	TE_start	TE_end	TE_evalue	Overlap_percentage	TE_orientation
Cluster10827	NJRL01000603.1:60597-61788(+):Aphaenogaster_rudis	60597	61788	2.666e-27	Copia11-NVi#LTR/Copia	61459	61755	8.828e-30	24.853064651553318	inside
Cluster10827	NJRL01000603.1:60597-61788(+):Aphaenogaster_rudis	60597	61788	2.666e-27	Copia-13_CP#LTR/Copia	61060	61332	6.721e-35	22.837951301427374	inside
Cluster10968	NJRO01000750.1:93872-94256(+):Aphaenogaster_fulva	93872	94256	3.579e-12	Mariner-16_SIn_tp#DNA/TcMar-Tc1	94053	94466	2.388e-44	52.864583333333336	right
Cluster10968	CABEGB010000731.1:25031-25382(+):Crematogaster_levior	25031	25382	1.98e-07	HAT-30_SM_tp#DNA/hAT-Tip100	23742	25871	1.002e-158	100	full
Cluster11630	QANH01000809.1:7259-7505(-):Harpegnathos_saltator	7259	7505	7.590000000000001e-47	UN-ZVERF_pol#LTR/ERV1	7374	7745	1.258e-13	53.2520325203252	right
Cluster12625	AEAQ02065768.1:86062-87136(+):Solenopsis_invicta	86062	87136	4.025e-13	Gypsy-19_PBa_pol#LTR/Gypsy	86534	87085	1.66e-41	51.30353817504656	inside
Cluster12959	scf7180005155831:188-704(+):Leptopilina_clavipes	188	704	1.249e-12	Gypsy-8_CFl_pol#LTR/Gypsy	4	540	1.5630000000000002e-64	68.21705426356588	left
Cluster13039	QANH01000554.1:30857-31067(+):Harpegnathos_saltator	30857	31067	1.446e-31	Helitron-1_DR_hel#RC/Helitron	29679	31190	6.682e-30	100	full
Cluster13229	NJRN01003014.1:547-1123(-):Aphaenogaster_miamiana	547	1123	3.555e-06	hAT-38_SSa_tp#DNA/hAT-Ac	4	1044	5.290000000000001e-63	86.28472222222221	left
Cluster13235	UCOJ01002985.1:6740-6929(-):Cecidostiba_fungosa	6740	6929	5.963e-09	NAVIRTE1_pol#LINE/RTE-X	5209	8124	0.0	100	full
Cluster14344	KQ977637.1:17854-18648(+):Cyphomyrmex_costatus	17854	18648	6.598e-09	I-1_NVi_pol#LINE/I	18434	18601	2.816e-13	21.03274559193955	inside
Cluster15744	jcf7180001988059:2889-4542(-):Synergus_japonicus	2889	4542	6.479e-130	Gypsy-14_PBa_gag#LTR/Gypsy	3778	4464	7.594000000000001e-49	41.50030248033878	inside
Cluster16096	SGAY01011552.1:47-676(-):Cataglyphis_hispanica	47	676	7.235e-13	Polinton-3_NVi_p1#DNA/Maverick	139	771	2.844e-24	85.37360890302067	right
Cluster16868	jcf7180001983227:1592-2213(-):Synergus_japonicus	1592	2213	1.566e-30	Copia9-NVi#LTR/Copia	5	2737	0.0	100	full
Cluster1694	JWHX01001355.1_1:4010-4259(-):Pseudomyrmex_gracilis	4010	4259	4.518e-10	Polinton-1_PBa_polb#DNA/Maverick	3560	4672	1.653e-153	100	full
Cluster1694	JWHX01002528.1:12256-12463(-):Pseudomyrmex_gracilis	12256	12463	1.924e-07	Polinton-1_PBa_polb#DNA/Maverick	11979	12764	1.057e-128	100	full
Cluster1758	JZSA01006656.1:40-454(+):Cotesia_vestalis	40	454	5.133e-15	Helitron2_AG_2p#RC/Helitron	14	277	1.787e-44	57.2463768115942	left
Cluster1758	scaffold_5629:9871-10237(-):Platygaster_orseoliae	9871	10237	4.873e-11	Gypsy5-NVi_env#LTR/Gypsy	9145	10878	2.244e-161	100	full
Cluster17658	MPJT01000349.1:20741-21770(-):Osmia_bicornis	20741	21770	1.284e-59	P-15_HM#DNA/P	20938	21435	1.307e-18	48.29931972789115	inside
Cluster17704	KQ466956.1:4798-5089(-):Dinoponera_quadriceps	4798	5089	7.069e-12	Gypsy-30_SI_pol#LTR/Gypsy	4654	5064	3.744000000000001e-42	91.40893470790378	left
Cluster17704	QANH01000058.1:78112-78586(+):Harpegnathos_saltator	78112	78586	1.18e-27	Gypsy-33_NVi_pol#LTR/Gypsy	77946	78482	3.363e-30	78.05907172995781	left
Cluster17704	QANH01000041.1:195240-195900(-):Harpegnathos_saltator	195240	195900	5.558e-24	Gypsy-9_PBa_2p#LTR/Gypsy	194349	198905	1.388e-293	100	full
Cluster18023	KB467311.1:6397-7177(-):Cephus_cinctus	6397	7177	1.548e-12	Polinton-1_NVi_atp#DNA/Maverick	6473	6664	8.785e-25	24.487179487179485	inside
Cluster18023	KB466430.1_1:13528-14362(+):Cephus_cinctus	13528	14362	1.069e-13	Gypsy-33_NVi_pol#LTR/Gypsy	13175	14041	6.745e-72	61.51079136690647	left
Cluster18256	GL905207.1:51021-51564(+):Linepithema_humile	51021	51564	5.476e-19	BEL-3_NVi_pol#LTR/Pao	50527	51801	2.768e-58	100	full
Cluster18348	JWHX01000563.1:19760-20510(-):Pseudomyrmex_gracilis	19760	20510	7.145e-18	RTE-3_SIn_pol#LINE/RTE-X	20207	20497	7.963e-33	38.666666666666664	inside
Cluster18836	scaffold_52803:152-755(-):Trichopria_sp_970989	152	755	3.327e-36	Kolobok-1_SIn_tp#DNA/Kolobok-Hydra	270	503	1.998e-28	38.640132669983416	inside
Cluster19349	QANI01000237.1:81115-81727(-):Camponotus_floridanus	81115	81727	7.106e-10	Harb_Cis1_tp#DNA/PIF-Harbinger	81390	81749	2.646e-37	55.06535947712419	right
Cluster19349	QANH01000523.1:185135-185915(+):Harpegnathos_saltator	185135	185915	3.47e-09	BEL-13_SI_pol#LTR/Pao	184835	188134	0.0	100	full
Cluster20057	LGIB01002685.1:1437-1920(+):Neodiprion_lecontei	1437	1920	1.319e-18	Polinton-7_NVi_p2#DNA/Maverick	1597	1971	3.784e-12	66.87370600414079	right
Cluster20217	QANH01000406.1:43837-45019(+):Harpegnathos_saltator	43837	45019	1.666e-19	Mariner3-3_HSal_tp#DNA/TcMar-Tc4	43363	44526	1.593e-265	58.29103214890017	left
Cluster20217	scaffold_3020:1970-4034(+):Platygaster_orseoliae	1970	4034	3.6739999999999996e-73	Gypsy-4_PPM_1p#LTR/Gypsy	2266	2724	2.24e-31	22.189922480620154	inside
Cluster20626	scaffold_13714:8927-9407(-):Copidosoma_sp	8927	9407	1.695e-15	Jockey-8_CQ_pol#LINE/I-Jockey	9085	9432	1.87e-31	67.08333333333333	right
Cluster21733	QANH01000766.1:34027-34771(-):Harpegnathos_saltator	34027	34771	6.62e-38	R1-1_HSal_gag#LINE/R1	34097	34681	1.815e-80	78.49462365591397	inside
Cluster22358	QANH01000030.1:139014-139479(-):Harpegnathos_saltator	139014	139479	1.787e-17	R1-1_HSal_gag#LINE/R1	138983	139771	1.599e-96	100	full
Cluster22358	QANH01000523.1:180360-180894(+):Harpegnathos_saltator	180360	180894	6.004e-18	R1-1_HSal_pol#LINE/R1	180409	180636	1.8e-19	42.50936329588015	inside
Cluster24087	QANH01000554.1:29685-29913(+):Harpegnathos_saltator	29685	29913	1.225e-33	Helitron-1_DR_hel#RC/Helitron	29679	31190	6.682e-30	100	full
Cluster25147	SGAY01016022.1:1756-2287(-):Cataglyphis_hispanica	1756	2287	3.651e-12	Polinton-7_NVi_polb#DNA/Maverick	1662	2420	1.7969999999999998e-53	100	full
Cluster25147	NPMM01012141.1:14504-14879(-):Formica_exsecta	14504	14879	6.034e-09	Gypsy-19_PBa_gag#LTR/Gypsy	14530	14787	1.593e-26	68.53333333333333	inside
Cluster25147	NPMM01012707.1:4412-4970(-):Formica_exsecta	4412	4970	6.832e-17	Mariner-4_HM_tp#DNA/TcMar-Fot1	3801	4694	1.9250000000000002e-72	50.53763440860215	left
Cluster25147	NPMM01011136.1:108701-109085(-):Formica_exsecta	108701	109085	1.722e-11	Jockey-13_DBp_pol#LINE/I-Jockey	108813	109094	6.828e-14	70.83333333333334	right
Cluster25147	NPMM01013597.1:21001-21391(+):Formica_exsecta	21001	21391	3.115e-10	Polinton-4_NVi_px#DNA/Maverick	20948	22006	2.75e-40	100	full
Cluster25561	KQ435020.1:194985-196764(-):Dufourea_novaeangliae	194985	196764	4.243e-12	Copia-13_SI#LTR/Copia	195187	195813	3.0409999999999997e-81	35.18830803822372	inside
Cluster25561	NCVS01006728.1:20725-21916(-):Goniozus_legneri	20725	21916	1.6069999999999999e-112	UN-TcDirs1_yr#LTR/DIRS	21376	21852	6.134e-32	39.9664147774979	inside
Cluster25561	NCVS01006728.1:20725-21916(-):Goniozus_legneri	20725	21916	1.6069999999999999e-112	UN-TcDirs1_yr#LTR/DIRS	21086	21328	1.038e-16	20.31905961376994	inside
Cluster25561	JWHX01000420.1:73034-73919(-):Pseudomyrmex_gracilis	73034	73919	4.125e-89	Ricksha#DNA/MULE-MuDR	73316	73570	6.179e-19	28.70056497175141	inside
Cluster25561	JWHX01000420.1:73034-73919(-):Pseudomyrmex_gracilis	73034	73919	4.125e-89	Ricksha#DNA/MULE-MuDR	73049	73312	3.675e-18	29.717514124293785	inside
Cluster25561	QKQZ01045967.1:1191-2307(+):Solenopsis_fugax	1191	2307	9.010000000000001e-31	R1-3_SIn#LINE/R1	1981	2217	3.934e-30	21.14695340501792	inside
Cluster27049	GL905193.1:24070-24295(+):Linepithema_humile	24070	24295	5.041e-12	Kolobok-1_AA#DNA/Kolobok-E	23843	25207	9.157e-46	100	full
Cluster3481	QANH01000041.1:52710-53469(+):Harpegnathos_saltator	52710	53469	1.844e-29	Gypsy-30_SI_pol#LTR/Gypsy	52896	53099	9.445e-19	26.745718050065875	inside
Cluster3481	QANH01000621.1:50441-51269(-):Harpegnathos_saltator	50441	51269	1.066e-29	Mariner-20_HSal_tp#DNA/TcMar-Mariner	50512	50694	6.061e-21	21.980676328502415	inside
Cluster3481	QANH01000046.1:2130476-2131232(-):Harpegnathos_saltator	2130476	2131232	1.042e-32	Mariner-6_HSal_tp#DNA/TcMar-Tc1	2130647	2131174	1.411e-113	69.70899470899471	inside
Cluster3614	QANH01000124.1:79502-80696(-):Harpegnathos_saltator	79502	80696	9.29e-30	Helitron-1_NVi_hel#RC/Helitron	80230	80550	3.793e-20	26.800670016750416	inside
Cluster3614	QANH01000754.1:98269-99190(-):Harpegnathos_saltator	98269	99190	5.585e-23	Mariner-45_HSal_tp#DNA/TcMar-Mariner	98696	99034	2.547e-66	36.699239956568945	inside
Cluster3614	QANH01000376.1:27925-28585(-):Harpegnathos_saltator	27925	28585	9.411e-21	Mariner-11_SIn_tp#DNA/TcMar-Mariner	27901	28446	2.49e-113	78.93939393939394	left
Cluster4023	scaffold_20492:3751-4090(-):Eretmocerus_eremicus	3751	4090	5.465e-06	Helitron-4_NVi_hel#RC/Helitron	3341	4597	4.464e-112	100	full
Cluster4185	scaffold_7944:1893-3774(+):Anagyrus_pseudococci	1893	3774	6.442e-123	Gypsy-6_AEc_env#LTR/Gypsy	1963	3723	2.356e-164	93.56725146198829	inside
Cluster4185	scaffold_8451:1524-3417(-):Anagyrus_pseudococci	1524	3417	4.3590000000000005e-84	Gypsy-17_PBa_env#LTR/Gypsy	2204	3979	6.982e-120	64.07818277865822	right
Cluster4185	scaffold_34179:20-863(-):Anagyrus_pseudococci	20	863	2.456e-57	Gypsy5-NVi_env#LTR/Gypsy	0	857	1.767e-101	99.28825622775801	left
Cluster4185	scaffold_27821:153-1110(+):Anagyrus_pseudococci	153	1110	5.266e-57	Gypsy5-NVi_env#LTR/Gypsy	184	1110	4.581e-79	96.760710553814	inside
Cluster4185	scaffold_27821:153-1110(+):Anagyrus_pseudococci	153	1110	5.266e-57	Gypsy5-NVi_env#LTR/Gypsy	184	1110	4.581e-79	96.760710553814	right
Cluster4185	scaffold_43547:2-659(+):Anagyrus_pseudococci	2	659	5.515e-46	Gypsy-20_NVi_env#LTR/Gypsy	60	659	4.7760000000000005e-87	91.17199391171994	inside
Cluster4185	scaffold_43547:2-659(+):Anagyrus_pseudococci	2	659	5.515e-46	Gypsy-20_NVi_env#LTR/Gypsy	60	659	4.7760000000000005e-87	91.17199391171994	right
Cluster4185	scaffold_32208_1:5-932(+):Anagyrus_pseudococci	5	932	3.0930000000000003e-32	Gypsy5-NVi_env#LTR/Gypsy	6	932	1.285e-52	99.89212513484358	inside
Cluster4185	scaffold_32208_1:5-932(+):Anagyrus_pseudococci	5	932	3.0930000000000003e-32	Gypsy5-NVi_env#LTR/Gypsy	6	932	1.285e-52	99.89212513484358	right
Cluster4185	scaffold_15251:286-820(+):Anagyrus_pseudococci	286	820	2.0760000000000003e-31	Gypsy5-NVi_env#LTR/Gypsy	293	820	1.1789999999999998e-51	98.68913857677903	inside
Cluster4185	scaffold_15251:286-820(+):Anagyrus_pseudococci	286	820	2.0760000000000003e-31	Gypsy5-NVi_env#LTR/Gypsy	293	820	1.1789999999999998e-51	98.68913857677903	right
Cluster4185	scaffold_55258:1-514(-):Anagyrus_pseudococci	1	514	1.041e-30	Gypsy-6_AEc_env#LTR/Gypsy	1	510	8.385e-43	99.22027290448344	inside
Cluster4185	scaffold_55258:1-514(-):Anagyrus_pseudococci	1	514	1.041e-30	Gypsy-6_AEc_env#LTR/Gypsy	1	510	8.385e-43	99.22027290448344	left
Cluster4185	scaffold_33584:2-745(+):Anagyrus_pseudococci	2	745	3.877e-29	Gypsy-24_NVi_env#LTR/Gypsy	3	470	4.867e-44	62.85329744279946	inside
Cluster4185	scaffold_42154:5-683(+):Anagyrus_pseudococci	5	683	6.825e-29	Gypsy5-NVi_env#LTR/Gypsy	48	683	4.6680000000000006e-46	93.65781710914455	inside
Cluster4185	scaffold_42154:5-683(+):Anagyrus_pseudococci	5	683	6.825e-29	Gypsy5-NVi_env#LTR/Gypsy	48	683	4.6680000000000006e-46	93.65781710914455	right
Cluster4185	scaffold_41632:7-691(+):Anagyrus_pseudococci	7	691	6.499e-19	Gypsy5-NVi_env#LTR/Gypsy	26	691	1.349e-34	97.22222222222221	inside
Cluster4185	scaffold_41632:7-691(+):Anagyrus_pseudococci	7	691	6.499e-19	Gypsy5-NVi_env#LTR/Gypsy	26	691	1.349e-34	97.22222222222221	right
Cluster4185	scaffold_59642:0-477(-):Anagyrus_pseudococci	0	477	4.695e-16	Gypsy-24_NVi_env#LTR/Gypsy	8	478	4.317e-48	98.32285115303984	right
Cluster4185	scaffold_38325:230-758(-):Anagyrus_pseudococci	230	758	1.119e-15	Gypsy-17_PBa_env#LTR/Gypsy	0	533	4.207e-39	57.38636363636363	left
Cluster4185	scaffold_7140:3727-4261(+):Anagyrus_pseudococci	3727	4261	1.947e-14	Gypsy-11_SI_env#LTR/Gypsy	3728	4135	1.443e-37	76.21722846441948	inside
